istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,midlat_deg,inclination_deg,n_spots,beta_1,beta_2,beta_3,alpha_1,alphaa_2,alpha_3,lons_1,lons_2,lons_3
1345,1350,4.225442119078272,4.241150082346221,1.9718885210007909e-07,2.0916232338769798e-09,4.4242010055484116e-10,0.015707963267948877,2000.0,28.78646792907665,-84.99447497402565,1,3.0,,,-1.8105122668921476,,,131.8341696876621,,
1568,1580,4.926017280828796,4.9637163926718735,8.329884339190574e-06,2.1777899765391645e-09,1.7965230636463048e-08,0.03769911184307784,2000.0,28.78646792907665,-84.99447497402565,1,3.0,,,-1.8105122668921476,,,131.8341696876621,,
istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,midlat_deg,inclination_deg,n_spots,beta_1,beta_2,beta_3,alpha_1,alphaa_2,alpha_3,lons_1,lons_2,lons_3
61,65,0.1916371518689774,0.20420352248333656,1.8802209080335614e-07,1.939654932412325e-09,4.6199932768331564e-10,0.012566370614359168,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
672,678,2.111150263212341,2.12999981913388,1.285014262609128e-07,2.4927906949606017e-09,2.1960255836006581e-10,0.01884955592153892,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
703,709,2.208539635473625,2.2273891913951633,2.0601014364939162e-07,2.5082020658324838e-09,3.2863156640416946e-10,0.018849555921538474,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
733,736,2.3027874150813186,2.312212193042088,6.338670727507247e-08,2.0880654882621644e-09,1.3330336834371792e-10,0.009424777960769237,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
874,880,2.7457519792374794,2.7646015351590183,1.4138530221177685e-07,2.0465938867147685e-09,3.294515771301576e-10,0.01884955592153892,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
893,896,2.8054422396556853,2.814867017616455,2.0043091571643864e-08,2.2665911641632235e-09,3.417199856414754e-11,0.009424777960769681,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
1177,1181,3.6976545532751866,3.710220923889546,1.459683815082848e-07,1.863335241323561e-09,3.7919778428374684e-10,0.012566370614359279,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
1209,1214,3.79818551819006,3.813893481458009,1.8142363068314918e-07,2.528559656505478e-09,2.7266988666951875e-10,0.01570796326794932,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
1513,1524,4.753229684881357,4.787787204070845,5.670806345774227e-07,2.9697814906563884e-09,6.438061195268574e-10,0.03455751918948824,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
1574,1580,4.944866836750335,4.9637163926718735,3.998524835858201e-07,2.0927814477537203e-09,9.00586272223336e-10,0.018849555921538474,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
1882,1888,5.912477374055991,5.93132692997753,3.291111641581383e-07,2.1299331454756075e-09,7.241141020131181e-10,0.018849555921539363,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
1918,1929,6.025574709585223,6.0601322287747115,3.0201158780743283e-06,2.0612264950310186e-09,7.008957858545273e-09,0.03455751918948824,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
1955,1967,6.141813637768046,6.179512749611123,1.5731457956941374e-06,2.7832699207051344e-09,2.4711934720755835e-09,0.03769911184307695,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
1996,1999,6.270618936565228,6.280043714525997,1.7846247158007278e-05,1.8783453757711333e-09,4.496671501819094e-08,0.009424777960768793,2000.0,16.06748898148032,-9.384872626373026,1,17.0,,,-1.9782314284707079,,,121.48869270800357,,
istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,midlat_deg,inclination_deg,n_spots,beta_1,beta_2,beta_3,alpha_1,alphaa_2,alpha_3,lons_1,lons_2,lons_3
285,289,0.8953539062730911,0.9079202768874503,1.0975692003055953e-07,2.482098431822545e-09,1.573348118455442e-10,0.012566370614359168,2000.0,14.16383723065165,65.94843720047449,3,6.0,6.0,13.0,-2.3799072643246966,-1.8827534967683683,-1.8877341526167883,115.43029620658284,274.00772768922207,125.59960249454842
448,457,1.4074335088082275,1.4357078426905356,9.044927159306845e-07,2.619660378989861e-09,1.4970760187082988e-09,0.028274333882308156,2000.0,14.16383723065165,65.94843720047449,3,6.0,6.0,13.0,-2.3799072643246966,-1.8827534967683683,-1.8877341526167883,115.43029620658284,274.00772768922207,125.59960249454842
467,475,1.4671237692264334,1.4922565104551517,6.106330268344653e-07,2.445021622519749e-09,1.1097280872007786e-09,0.025132741228718336,2000.0,14.16383723065165,65.94843720047449,3,6.0,6.0,13.0,-2.3799072643246966,-1.8827534967683683,-1.8877341526167883,115.43029620658284,274.00772768922207,125.59960249454842
490,498,1.5393804002589988,1.5645131414877171,6.198188938376526e-07,2.1051928729330563e-09,1.3977465851411353e-09,0.025132741228718336,2000.0,14.16383723065165,65.94843720047449,3,6.0,6.0,13.0,-2.3799072643246966,-1.8827534967683683,-1.8877341526167883,115.43029620658284,274.00772768922207,125.59960249454842
543,551,1.7058848108992577,1.731017552127976,9.057592977067903e-07,2.235849903611537e-09,1.8502297471911788e-09,0.025132741228718336,2000.0,14.16383723065165,65.94843720047449,3,6.0,6.0,13.0,-2.3799072643246966,-1.8827534967683683,-1.8877341526167883,115.43029620658284,274.00772768922207,125.59960249454842
641,648,2.0137608909510574,2.035752039526186,1.373259784371484e-06,1.999134726864059e-09,3.2978382247250693e-09,0.021991148575128516,2000.0,14.16383723065165,65.94843720047449,3,6.0,6.0,13.0,-2.3799072643246966,-1.8827534967683683,-1.8877341526167883,115.43029620658284,274.00772768922207,125.59960249454842
718,729,2.2556635252774715,2.2902210444669593,1.4283147160231631e-06,2.6266461242718546e-09,2.36965802535849e-09,0.034557519189487795,2000.0,14.16383723065165,65.94843720047449,3,6.0,6.0,13.0,-2.3799072643246966,-1.8827534967683683,-1.8877341526167883,115.43029620658284,274.00772768922207,125.59960249454842
1045,1050,3.282964323001334,3.2986722862692828,1.7152952658972025e-07,2.250525878614017e-09,3.258870950872961e-10,0.015707963267948877,2000.0,14.16383723065165,65.94843720047449,3,6.0,6.0,13.0,-2.3799072643246966,-1.8827534967683683,-1.8877341526167883,115.43029620658284,274.00772768922207,125.59960249454842
1209,1217,3.79818551819006,3.8233182594187785,7.92957398162067e-07,2.3197543291571878e-09,1.5573420331094212e-09,0.025132741228718558,2000.0,14.16383723065165,65.94843720047449,3,6.0,6.0,13.0,-2.3799072643246966,-1.8827534967683683,-1.8877341526167883,115.43029620658284,274.00772768922207,125.59960249454842
