,"1 spots, bi-hem.","1-3 spots, bi-hem.","3-5 spots, bi-hem.","1-3 spots, mono-hem.","3-5 spots, mono-hem."
color,#E69F00,#CC79A7,#230072B2,#56B4E9,#009E73
a,-2227.313094556228,319.99874688198537,-10480.097966668392,-4035.326635848831,-18375.706204371167
b,1696.6192725258459,3755.697193502439,15587.017260941053,5218.647166874158,9852.349312780083
c,-1647.7843897620216,-2759.4164324799626,-11913.374535204686,-3924.1200868189803,-8569.679173145598
d,82.42661815803483,43.96767271336212,-74.3468717124606,28.740797607114143,-22.59660510158994
e,560.0808010332947,-7526.973444986745,-14895.107386301264,-5220.002453126376,7784.466546064906
ar,233.52038362011905,589.3774384791909,2418.4718596403577,954.2914399351984,1283.8016825966308
br,28.21371854767859,57.397619873033754,292.534241134164,114.54404397726185,192.68017098309232
cr,30.379649349672803,68.40146760582837,268.2432307583142,109.19556423561352,178.210450338309
dr,1.3785766409275861,2.220971204017114,3.5266610584987537,2.382424697664163,2.4507448942796124
er,312.91827572917697,844.4464122318849,3052.164936453144,1282.5499466023743,1644.1612503183642
